system:index,AWEINS,AWEIS,B11,B12,B2,B3,B4,B5,B6,B7,B8,EVI,NDBI,NDSI,NDVI,NDWI,landcover,.geo
1_1_1_1_1_14_0,11991.25,9038.0,153,164,3524,3374,2884,3341,2801,2407,1767,0.37951889100298997,0.33207333,0.91324073,-0.2401634,0.3125851,0,
1_1_1_1_1_15_0,19348.25,13567.0,177,176,5488,5342,4835,4573,4514,3529,3311,0.4310930074677529,0.24741448,0.93585795,-0.18708569,0.23471628,0,
1_1_1_1_1_16_0,19627.75,13566.75,201,197,5574,5465,5062,4980,4610,3988,3546,0.48059852903880296,0.22236842,0.9290505,-0.17611524,0.21296194,0,
1_1_1_1_1_17_0,15329.75,10768.75,109,97,4266,4163,3916,3689,3407,2823,2478,0.5971760797342193,0.26512456,0.94897,-0.22489834,0.25372684,0,
1_1_1_1_1_18_0,19664.5,14211.25,156,171,5541,5377,4837,4558,4095,3422,2997,0.48230668414154654,0.29796204,0.9436111,-0.23487362,0.28421304,0,
1_1_1_1_1_19_0,8250.0,6443.5,127,124,2639,2352,2074,2279,2089,1927,1236,0.34279636750388615,0.3620645,0.8975393,-0.25317222,0.3110368,0,
1_1_1_1_1_20_0,22488.5,15701.25,184,171,6399,6165,5746,5405,4988,4118,3861,0.48811435082086074,0.24736843,0.9420381,-0.1962111,0.22980252,0,
1_1_1_1_1_21_0,23152.75,15773.25,226,241,6638,6455,6187,5963,5722,4917,4402,0.5402542372881356,0.20253623,0.93234545,-0.16857116,0.18909459,0,
1_1_1_1_1_22_0,21043.75,14878.75,145,145,5999,5721,5198,4881,4549,3636,3446,0.42288196958725566,0.27030176,0.95056254,-0.20268394,0.24817279,0,
1_1_1_1_1_23_0,16506.5,11318.5,163,150,4709,4583,4361,4290,3990,3416,3044,0.5391795627609923,0.21475558,0.9313106,-0.17785281,0.20178314,0,
1_1_1_1_1_24_0,16223.5,11170.75,97,83,4662,4389,4128,3993,3762,3194,2865,0.4307052243895785,0.23874053,0.9567543,-0.18060918,0.21009098,0,
1_1_1_1_1_25_0,14066.75,9756.0,91,92,4115,3828,3526,3261,3097,2712,2513,0.3521028849496003,0.24170187,0.9535596,-0.167743,0.20738053,0,
1_1_1_1_1_26_0,13180.0,9490.5,136,124,3961,3657,3365,3491,3109,2775,2252,0.38302704934957676,0.2750684,0.92828894,-0.19814847,0.23777288,0,
1_1_1_1_1_27_0,18589.25,12982.0,151,136,5231,5088,4721,4453,4273,3544,3139,0.5092383956737269,0.24994026,0.9423554,-0.20127226,0.23690288,0,
1_1_1_1_1_28_0,18277.25,12894.0,114,94,5090,4928,4548,4439,4034,3352,2881,0.5206121174266084,0.2771296,0.95477986,-0.2243909,0.26213345,0,
1_1_1_1_1_29_0,18125.25,13136.25,128,133,5102,4919,4461,4208,3871,3158,2692,0.5022143992732229,0.3092122,0.9492768,-0.24730882,0.2926028,0,
1_1_1_1_1_30_0,16199.75,11635.75,120,101,4481,4390,3984,3704,3433,2694,2410,0.5395954748028796,0.30053693,0.9467849,-0.24616829,0.29117647,0,
1_1_1_1_1_31_0,14640.25,10654.75,153,169,4280,4077,3690,3492,3198,2731,2364,0.43647136273864384,0.2883805,0.9276596,-0.21902874,0.2659525,0,
1_1_1_1_1_32_0,17166.25,12733.5,129,126,4890,4656,4114,3879,3561,2715,2381,0.45087938391091686,0.34506947,0.9460815,-0.26682064,0.32329118,0,
1_1_1_1_1_33_0,13619.5,9955.25,194,209,4026,3886,3544,3412,3269,2741,2295,0.4706103993971364,0.27384907,0.904902,-0.2139065,0.2574017,0,
1_1_1_1_1_34_0,14510.0,10245.5,153,164,4282,4056,3771,3581,3270,2844,2604,0.42380883207437536,0.24368283,0.92729867,-0.18305883,0.21801803,0,
